"","knapper","assessment","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length"
"22",11,9,0.739794439414207,0.972566443555416,1.12098529023261,1.42735070146998,1.6327715844471,1.90349018912227,2.07449629802205,1.94028689267035,1.34661150596158,0.397419402599405,0.537793497528942,0.664327437510347,0.751313458095571,0.753318340354413,0.709792993251174,0.741450730854495,0.680140137906695,0.492327941788115,3.6410666702822
"23",13,1,0.629139142819163,0.895007759290198,1.02306061982791,1.17290971194652,1.22104305668764,1.41471165604699,1.45739594289289,1.24291496962819,0.889558701394976,0.502863900359034,0.675381645401329,0.836874940415014,0.961689592225406,1.03510647025377,1.0571255745001,1.05346068976086,0.989220921486042,0.777253522827858,2.19475943001994
"24",13,2,0.634148830611756,0.782741159578794,0.867228624520962,0.957841430671437,1.17564307467027,1.29832591438837,1.1186492389447,1.13290649865369,0.800061089891939,0.704089926835961,0.949832584462205,0.960726145394709,1.02446595039291,1.16411419461162,1.21443801108226,1.16411419461162,1.05928099500162,0.772015298502885,1.76895629722664
"25",13,3,0.537980518386431,0.82996028790181,1.19707808974132,1.36891493808155,1.49847446659205,1.63926898178541,1.64303562471954,1.55666260571255,1.32384510711099,0.304793309923154,0.594143690629498,0.87418740538399,1.04901977290807,1.15267148655864,1.12326855841405,0.945342491493892,0.703215770164115,0.422379454737899,2.72172423051368
"26",13,4,0.700844620094958,0.959024709071412,1.08953763888467,1.3463439075473,1.50099682287489,1.48539414931075,1.47827972268559,1.17608831865557,0.929242247268161,0.452190097388931,0.678005050546974,0.909653717636045,0.914347732487833,0.934804365113527,0.92427663633071,0.918442922399681,0.844729503986414,0.694385810194366,2.37229329190642
"27",13,5,0.533051901459246,0.876715738270344,1.20903933553959,1.525535111844,1.72802206280788,1.87532389086755,1.96562130625695,1.90516024303114,1.48187215745826,0.340555764084755,0.533419579443466,0.653869932065983,0.785804252896911,0.892621869870775,0.95214272796551,0.943547658204537,0.719837092481447,0.476787619796169,2.51122630710209
"28",14,1,0.797520478853164,1.04314266861961,1.18497347005473,1.42497471561684,1.78027067718427,2.1355666387517,1.89177452384248,1.37765420859425,0.950593168696969,0.501160544422956,0.555609903223478,0.642070132698788,0.760592697271191,0.944732400284678,0.814990591649407,0.70454794137916,0.619683108995359,0.469149673748168,3.52420129648931
"29",14,2,1.31515258619904,1.60481009124946,1.73096364912512,1.74408864573863,1.84706401810532,1.98026877097015,2.03074415688277,1.92378939724497,1.36360337157021,0.301903507293648,0.415969380861441,0.536741778079966,0.551831456294115,0.565244503595581,0.618924178554111,0.640720380418993,0.637367118593627,0.513241459549734,2.95312423804116
"30",14,4,0.69897314085169,1.15223808284606,1.44981943746423,1.66487823155803,1.82248542174366,1.91892204258954,1.85217302510246,1.69084686948528,1.24219857423354,0.264937158594801,0.488398209369568,0.750255583938779,0.762524231778424,0.797866015678635,0.800920555572868,0.821671231548564,0.736421799954982,0.512203425239496,2.57891016650353
"31",14,5,0.937755187603298,1.21083022764918,1.42835243937187,1.52246010282674,1.76635851088108,1.90475213360884,1.92643922837041,1.87648727136703,1.53568076419791,0.359425994145017,0.474833070735596,0.618906024159825,0.683211944641756,0.690955321031526,0.708775342855665,0.701801176041038,0.675468568251986,0.508909054914418,2.543186337656
